snr,object_side_size,trial,environment_transformation,object_transformation,transformation_inferred,agents_action,mu_env,sigma_env,mu_obj,saliency
0,4,86,2,4,0,0,,,141.48,
0,4,87,4,3,3,3,,,141.48,
0,4,88,1,3,2,2,,,141.48,
0,4,89,3,4,4,3,,,141.48,
0,4,90,1,4,4,2,,,141.48,
0,4,91,2,2,2,2,,,141.48,
0,4,92,1,0,3,0,,,141.48,
0,4,93,2,0,0,4,,,141.48,
0,4,94,2,4,1,3,,,141.48,
0,4,95,3,2,2,2,,,141.48,
0,4,96,1,3,4,0,,,141.48,
0,4,97,0,1,1,4,,,141.48,
0,4,98,2,4,4,3,,,141.48,
0,4,99,2,0,4,4,,,141.48,
0,5,0,4,1,3,1,,,141.48,
0,5,1,3,0,0,3,,,141.48,
0,5,2,0,0,4,1,,,141.48,
0,5,3,0,4,2,0,,,141.48,
0,5,4,3,4,4,3,,,141.48,
0,5,5,2,1,3,2,,,141.48,
0,5,6,3,3,3,4,,,141.48,
0,5,7,3,4,4,4,,,141.48,
0,5,8,0,2,2,4,,,141.48,
0,5,9,2,3,3,1,,,141.48,
0,5,10,3,3,3,3,,,141.48,
0,5,11,0,3,4,1,,,141.48,
0,5,12,2,3,0,4,,,141.48,
0,5,13,2,2,2,4,,,141.48,
0,5,14,4,4,4,4,,,141.48,
0,5,15,1,2,4,1,,,141.48,
0,5,16,0,3,3,3,,,141.48,
0,5,17,2,4,2,4,,,141.48,
0,5,18,3,3,3,0,,,141.48,
0,5,19,1,1,3,0,,,141.48,
0,5,20,3,1,0,1,,,141.48,
0,5,21,3,2,1,4,,,141.48,
0,5,22,0,2,1,4,,,141.48,
0,5,23,3,0,4,1,,,141.48,
0,5,24,4,1,1,0,,,141.48,
0,5,25,2,3,1,0,,,141.48,
0,5,26,4,2,4,4,,,141.48,
0,5,27,0,2,1,1,,,141.48,
0,5,28,0,0,0,2,,,141.48,
0,5,29,4,4,4,0,,,141.48,
0,5,30,4,1,4,1,,,141.48,
0,5,31,3,4,4,4,,,141.48,
0,5,32,3,4,1,0,,,141.48,
0,5,33,0,3,3,3,,,141.48,
0,5,34,2,2,2,2,,,141.48,
0,5,35,1,0,0,4,,,141.48,
0,5,36,4,0,0,0,,,141.48,
0,5,37,4,0,4,0,,,141.48,
0,5,38,3,1,1,3,,,141.48,
0,5,39,4,0,3,0,,,141.48,
0,5,40,4,3,0,1,,,141.48,
0,5,41,4,4,3,4,,,141.48,
0,5,42,1,0,0,4,,,141.48,
0,5,43,1,0,0,3,,,141.48,
0,5,44,0,4,4,2,,,141.48,
0,5,45,2,3,3,3,,,141.48,
0,5,46,4,4,4,0,,,141.48,
0,5,47,0,2,0,0,,,141.48,
0,5,48,0,0,1,3,,,141.48,
0,5,49,3,2,2,4,,,141.48,
0,5,50,1,2,1,1,,,141.48,
0,5,51,1,4,2,2,,,141.48,
0,5,52,0,1,3,2,,,141.48,
0,5,53,1,2,2,4,,,141.48,
0,5,54,1,1,2,3,,,141.48,
0,5,55,2,0,1,1,,,141.48,
0,5,56,1,2,1,1,,,141.48,
0,5,57,3,3,1,0,,,141.48,
0,5,58,0,0,2,2,,,141.48,
0,5,59,2,1,1,3,,,141.48,
0,5,60,0,2,3,3,,,141.48,
0,5,61,4,3,3,3,,,141.48,
0,5,62,3,0,0,0,,,141.48,
0,5,63,4,4,4,4,,,141.48,
0,5,64,4,1,1,0,,,141.48,
0,5,65,1,4,4,1,,,141.48,
0,5,66,2,4,4,0,,,141.48,
0,5,67,3,0,2,0,,,141.48,
0,5,68,4,3,0,1,,,141.48,
0,5,69,1,2,2,0,,,141.48,
0,5,70,4,1,1,2,,,141.48,
0,5,71,2,4,2,1,,,141.48,
0,5,72,4,3,3,4,,,141.48,
0,5,73,2,4,3,3,,,141.48,
0,5,74,2,0,0,0,,,141.48,
